modelo,protocolo,MAE,RMSE,R2
Persistência,Expanding,1.984,2.524,-0.2399
Persistência,Rolling,1.984,2.524,-0.2399
Regressão Linear,Expanding,1.6713,2.1564,0.0949
Regressão Linear,Rolling,1.7276,2.1426,0.1065
Ridge,Expanding,1.6553,2.1557,0.0955
Ridge,Rolling,1.6732,2.1042,0.1383
Random Forest,Expanding,1.8504,2.3208,-0.0483
Random Forest,Rolling,1.8628,2.3174,-0.0452
Gradient Boosting,Expanding,1.7686,2.3054,-0.0345
Gradient Boosting,Rolling,1.7867,2.3035,-0.0327
