uf,ano_fluxo,evasao_t,previsao,erro,erro_abs,fold
Acre,2021-2022,15.2,14.099965920293013,1.1000340797069867,1.1000340797069867,1
Alagoas,2021-2022,16.8,15.176040186809121,1.6239598131908792,1.6239598131908792,1
Amapá,2021-2022,18.0,16.692508613867446,1.3074913861325541,1.3074913861325541,1
Amazonas,2021-2022,16.1,15.319338910698495,0.7806610893015069,0.7806610893015069,1
Bahia,2021-2022,17.1,14.200202007916133,2.899797992083869,2.899797992083869,1
Ceará,2021-2022,14.4,15.686426103038238,-1.286426103038238,1.286426103038238,1
Distrito Federal,2021-2022,14.5,12.356854545598523,2.143145454401477,2.143145454401477,1
Espírito Santo,2021-2022,16.4,14.180722437779309,2.2192775622206895,2.2192775622206895,1
Goiás,2021-2022,18.4,15.767292151228515,2.6327078487714832,2.6327078487714832,1
Maranhão,2021-2022,13.4,14.86538943385473,-1.46538943385473,1.46538943385473,1
Mato Grosso,2021-2022,16.7,15.288567939828155,1.411432060171844,1.411432060171844,1
Mato Grosso do Sul,2021-2022,18.2,14.574642395410327,3.625357604589672,3.625357604589672,1
Minas Gerais,2021-2022,13.6,12.60356478670492,0.9964352132950793,0.9964352132950793,1
Paraná,2021-2022,14.4,12.40009684506942,1.9999031549305801,1.9999031549305801,1
Paraíba,2021-2022,15.2,15.504747276050171,-0.30474727605017193,0.30474727605017193,1
Pará,2021-2022,17.9,15.198699077340814,2.7013009226591844,2.7013009226591844,1
Pernambuco,2021-2022,16.0,15.758427866904128,0.24157213309587178,0.24157213309587178,1
Piauí,2021-2022,12.0,16.428172192621016,-4.428172192621016,4.428172192621016,1
Rio Grande do Norte,2021-2022,13.8,14.327619400914326,-0.5276194009143254,0.5276194009143254,1
Rio Grande do Sul,2021-2022,15.2,12.289762685414141,2.910237314585858,2.910237314585858,1
Rio de Janeiro,2021-2022,12.8,13.085152834970533,-0.2851528349705319,0.2851528349705319,1
Rondônia,2021-2022,21.5,15.229545517771658,6.270454482228342,6.270454482228342,1
Roraima,2021-2022,19.4,14.97598133851916,4.424018661480838,4.424018661480838,1
Santa Catarina,2021-2022,18.7,14.961459890683878,3.738540109316121,3.738540109316121,1
Sergipe,2021-2022,17.6,13.71253051917067,3.8874694808293313,3.8874694808293313,1
São Paulo,2021-2022,17.8,14.689237255020283,3.110762744979718,3.110762744979718,1
Tocantins,2021-2022,12.6,14.020210575953666,-1.420210575953666,1.420210575953666,1
Acre,2022-2023,17.6,16.990586626746733,0.6094133732532683,0.6094133732532683,2
Alagoas,2022-2023,15.7,15.785250963733544,-0.0852509637335448,0.0852509637335448,2
Amapá,2022-2023,18.5,16.382067446876956,2.117932553123044,2.117932553123044,2
Amazonas,2022-2023,17.3,16.537608799561028,0.762391200438973,0.762391200438973,2
Bahia,2022-2023,17.3,15.669242424312305,1.6307575756876957,1.6307575756876957,2
Ceará,2022-2023,15.8,15.505743284622845,0.2942567153771556,0.2942567153771556,2
Distrito Federal,2022-2023,14.7,16.60797920317646,-1.9079792031764597,1.9079792031764597,2
Espírito Santo,2022-2023,15.9,15.317927371632399,0.5820726283676017,0.5820726283676017,2
Goiás,2022-2023,17.1,15.317927371632399,1.7820726283676027,1.7820726283676027,2
Maranhão,2022-2023,14.3,14.002891695108634,0.29710830489136697,0.29710830489136697,2
Mato Grosso,2022-2023,17.9,15.669242424312305,2.2307575756876936,2.2307575756876936,2
Mato Grosso do Sul,2022-2023,17.2,15.263459027104886,1.9365409728951128,1.9365409728951128,2
Minas Gerais,2022-2023,14.5,15.406889677473004,-0.9068896774730035,0.9068896774730035,2
Paraná,2022-2023,14.7,14.195579467735351,0.504420532264648,0.504420532264648,2
Paraíba,2022-2023,14.4,16.42383036396397,-2.0238303639639685,2.0238303639639685,2
Pará,2022-2023,17.6,15.669242424312305,1.9307575756876965,1.9307575756876965,2
Pernambuco,2022-2023,16.3,15.558151209596003,0.7418487904039974,0.7418487904039974,2
Piauí,2022-2023,12.3,12.832955040251488,-0.5329550402514869,0.5329550402514869,2
Rio Grande do Norte,2022-2023,22.2,14.270825026156793,7.929174973843207,7.929174973843207,2
Rio Grande do Sul,2022-2023,18.8,16.597250168189568,2.202749831810433,2.202749831810433,2
Rio de Janeiro,2022-2023,14.1,15.835087516079543,-1.7350875160795436,1.7350875160795436,2
Rondônia,2022-2023,18.9,16.79627076162695,2.103729238373049,2.103729238373049,2
Roraima,2022-2023,21.9,16.98686277224876,4.913137227751239,4.913137227751239,2
Santa Catarina,2022-2023,18.3,16.71531288014344,1.5846871198565609,1.5846871198565609,2
Sergipe,2022-2023,15.8,14.800530175756254,0.9994698242437465,0.9994698242437465,2
São Paulo,2022-2023,15.9,15.005037347574799,0.8949626524252015,0.8949626524252015,2
Tocantins,2022-2023,17.3,13.310194176871315,3.9898058231286857,3.9898058231286857,2
Acre,2023-2024,17.6,17.521423842460052,0.07857615753994907,0.07857615753994907,3
Alagoas,2023-2024,17.3,17.088686631022163,0.21131336897783726,0.21131336897783726,3
Amapá,2023-2024,19.1,17.335703773094576,1.7642962269054259,1.7642962269054259,3
Amazonas,2023-2024,20.9,16.84109067726085,4.058909322739147,4.058909322739147,3
Bahia,2023-2024,17.5,17.789070106771945,-0.2890701067719448,0.2890701067719448,3
Ceará,2023-2024,17.1,17.28208496808276,-0.18208496808275854,0.18208496808275854,3
Distrito Federal,2023-2024,16.9,16.460771064098314,0.439228935901685,0.439228935901685,3
Espírito Santo,2023-2024,19.2,15.40473305726186,3.79526694273814,3.79526694273814,3
Goiás,2023-2024,19.6,15.727685732192139,3.8723142678078624,3.8723142678078624,3
Maranhão,2023-2024,17.5,14.303300296712075,3.1966997032879245,3.1966997032879245,3
Mato Grosso,2023-2024,18.5,17.318688654311707,1.181311345688293,1.181311345688293,3
Mato Grosso do Sul,2023-2024,20.1,15.863478889367224,4.236521110632777,4.236521110632777,3
Minas Gerais,2023-2024,17.3,15.643368976456154,1.6566310235438468,1.6566310235438468,3
Paraná,2023-2024,15.9,15.533680224426927,0.36631977557307316,0.36631977557307316,3
Paraíba,2023-2024,13.0,15.822621727142385,-2.8226217271423852,2.8226217271423852,3
Pará,2023-2024,17.6,16.405401164992902,1.194598835007099,1.194598835007099,3
Pernambuco,2023-2024,15.3,15.924688918507588,-0.6246889185075872,0.6246889185075872,3
Piauí,2023-2024,11.6,13.311598102744425,-1.711598102744425,1.711598102744425,3
Rio Grande do Norte,2023-2024,15.0,16.91212233177147,-1.9121223317714708,1.9121223317714708,3
Rio Grande do Sul,2023-2024,17.9,17.994772213808083,-0.09477221380808487,0.09477221380808487,3
Rio de Janeiro,2023-2024,18.2,15.72413373165573,2.4758662683442694,2.4758662683442694,3
Rondônia,2023-2024,18.8,16.384359088177636,2.415640911822365,2.415640911822365,3
Roraima,2023-2024,19.1,19.246858341826805,-0.14685834182680324,0.14685834182680324,3
Santa Catarina,2023-2024,20.6,17.518838716603415,3.081161283396586,3.081161283396586,3
Sergipe,2023-2024,16.3,16.85464365752733,-0.554643657527329,0.554643657527329,3
São Paulo,2023-2024,17.6,15.561735836663322,2.038264163336679,2.038264163336679,3
Tocantins,2023-2024,15.1,15.863478889367224,-0.7634788893672244,0.7634788893672244,3
